228          0          0           2.          0.8           0.    46 ------          1          0     2     0     0       0
252          0          0           2.          0.5           0.    46 ------          1          0     2     0     0       0
280          0          0           2.     0.866667           0.    46 ------          1          0     2     0     0       0
281          0          0           2.     0.933333           0.    46 ------          1          0     2     0     0       0
282          0          0           2.           1.           0.    46 ------          1          0     1     0     0       0
327          0          0           2.          0.2           0.    46 ------          1          0     2     0     0       0
332          0          0           2.         0.56           0.    46 ------          1          0     2     0     0       0
333          0          0           2.         0.62           0.    46 ------          1          0     2     0     0       0
334          0          0           2.         0.68           0.    46 ------          1          0     2     0     0       0
335          0          0           2.         0.74           0.    46 ------          1          0     2     0     0       0
383          0          0           2.         0.26           0.    46 ------          1          0     2     0     0       0
384          0          0           2.         0.32           0.    46 ------          1          0     2     0     0       0
385          0          0           2.         0.38           0.    46 ------          1          0     2     0     0       0
386          0          0           2.         0.44           0.    46 ------          1          0     2     0     0       0
472          0          0           2.           0.           0.    46 ------          1          0     1     0     0       0
473          0          0           2.    0.0666667           0.    46 ------          1          0     2     0     0       0
474          0          0           2.     0.133333           0.    46 ------          1          0     2     0     0       0
