48          0          0           0.          0.5           0.    46 ------          1          0     2     0     0       0
64          0          0           0.          0.8           0.    46 ------          1          0     2     0     0       0
69          0          0           0.          0.2           0.    46 ------          1          0     2     0     0       0
84          0          0           0.         0.74           0.    46 ------          1          0     2     0     0       0
85          0          0           0.         0.68           0.    46 ------          1          0     2     0     0       0
86          0          0           0.         0.62           0.    46 ------          1          0     2     0     0       0
87          0          0           0.         0.56           0.    46 ------          1          0     2     0     0       0
146          0          0           0.           1.           0.    46 ------          1          0     1     0     0       0
147          0          0           0.     0.933333           0.    46 ------          1          0     2     0     0       0
148          0          0           0.     0.866667           0.    46 ------          1          0     2     0     0       0
539          0          0           0.     0.133333           0.    46 ------          1          0     2     0     0       0
540          0          0           0.    0.0666667           0.    46 ------          1          0     2     0     0       0
541          0          0           0.           0.           0.    46 ------          1          0     1     0     0       0
587          0          0           0.         0.44           0.    46 ------          1          0     2     0     0       0
588          0          0           0.         0.38           0.    46 ------          1          0     2     0     0       0
589          0          0           0.         0.32           0.    46 ------          1          0     2     0     0       0
590          0          0           0.         0.26           0.    46 ------          1          0     2     0     0       0
