Node ID,X Coordinate,Y Coordinate,DOF ID
1,1.,0.65,0
2,1.,0.7,1
3,1.,0.75,2
4,1.,0.8,3
5,1.15,0.5,4
6,1.2,0.5,5
7,1.25,0.5,6
8,1.3,0.5,7
9,0.85,0.5,8
10,0.7,0.5,9
11,0.75,0.5,10
12,0.8,0.5,11
13,1.,0.35,12
14,1.,0.3,13
15,1.,0.25,14
16,1.,0.2,15
17,1.3,0.8,16
18,1.24,0.8,17
19,1.18,0.8,18
20,1.12,0.8,19
21,1.06,0.8,20
22,0.7,0.2,21
23,0.7,0.44,22
24,0.7,0.38,23
25,0.7,0.32,24
26,0.7,0.26,25
27,0.7,0.8,26
28,0.7,0.74,27
29,0.7,0.68,28
30,0.7,0.62,29
31,0.7,0.56,30
32,1.3,0.2,31
33,1.3,0.26,32
34,1.3,0.32,33
35,1.3,0.38,34
36,1.3,0.44,35
37,0.641667,0.5,36
38,0.583333,0.5,37
39,0.525,0.5,38
40,0.466667,0.5,39
41,0.408333,0.5,40
42,0.35,0.5,41
43,0.291667,0.5,42
44,0.233333,0.5,43
45,0.175,0.5,44
46,0.116667,0.5,45
47,0.0583333,0.5,46
48,0.,0.5,47
49,0.76,0.2,48
50,0.82,0.2,49
51,0.88,0.2,50
52,0.94,0.2,51
53,0.641667,0.8,52
54,0.583333,0.8,53
55,0.525,0.8,54
56,0.466667,0.8,55
57,0.408333,0.8,56
58,0.35,0.8,57
59,0.291667,0.8,58
60,0.233333,0.8,59
61,0.175,0.8,60
62,0.116667,0.8,61
63,0.0583333,0.8,62
64,0.,0.8,63
65,0.94,0.8,64
66,0.88,0.8,65
67,0.82,0.8,66
68,0.76,0.8,67
69,0.,0.2,68
70,0.0583333,0.2,69
71,0.116667,0.2,70
72,0.175,0.2,71
73,0.233333,0.2,72
74,0.291667,0.2,73
75,0.35,0.2,74
76,0.408333,0.2,75
77,0.466667,0.2,76
78,0.525,0.2,77
79,0.583333,0.2,78
80,0.641667,0.2,79
81,0.7,0.866667,80
82,0.7,0.933333,81
83,0.7,1.,82
84,0.,0.74,83
85,0.,0.68,84
86,0.,0.62,85
87,0.,0.56,86
88,0.641667,0.56,87
89,0.641667,0.62,88
90,0.641667,0.68,89
91,0.641667,0.74,90
92,0.583333,0.56,91
93,0.583333,0.62,92
94,0.583333,0.68,93
95,0.583333,0.74,94
96,0.525,0.56,95
97,0.525,0.62,96
98,0.525,0.68,97
99,0.525,0.74,98
100,0.466667,0.56,99
101,0.466667,0.62,100
102,0.466667,0.68,101
103,0.466667,0.74,102
104,0.408333,0.56,103
105,0.408333,0.62,104
106,0.408333,0.68,105
107,0.408333,0.74,106
108,0.35,0.56,107
109,0.35,0.62,108
110,0.35,0.68,109
111,0.35,0.74,110
112,0.291667,0.56,111
113,0.291667,0.62,112
114,0.291667,0.68,113
115,0.291667,0.74,114
116,0.233333,0.56,115
117,0.233333,0.62,116
118,0.233333,0.68,117
119,0.233333,0.74,118
120,0.175,0.56,119
121,0.175,0.62,120
122,0.175,0.68,121
123,0.175,0.74,122
124,0.116667,0.56,123
125,0.116667,0.62,124
126,0.116667,0.68,125
127,0.116667,0.74,126
128,0.0583333,0.56,127
129,0.0583333,0.62,128
130,0.0583333,0.68,129
131,0.0583333,0.74,130
132,1.,0.866667,131
133,1.,0.933333,132
134,1.,1.,133
135,0.641667,1.,134
136,0.583333,1.,135
137,0.525,1.,136
138,0.466667,1.,137
139,0.408333,1.,138
140,0.35,1.,139
141,0.291667,1.,140
142,0.233333,1.,141
143,0.175,1.,142
144,0.116667,1.,143
145,0.0583333,1.,144
146,0.,1.,145
147,0.,0.933333,146
148,0.,0.866667,147
149,0.0583333,0.866667,148
150,0.116667,0.866667,149
151,0.175,0.866667,150
152,0.233333,0.866667,151
153,0.291667,0.866667,152
154,0.35,0.866667,153
155,0.408333,0.866667,154
156,0.466667,0.866667,155
157,0.525,0.866667,156
158,0.583333,0.866667,157
159,0.641667,0.866667,158
160,0.0583333,0.933333,159
161,0.116667,0.933333,160
162,0.175,0.933333,161
163,0.233333,0.933333,162
164,0.291667,0.933333,163
165,0.35,0.933333,164
166,0.408333,0.933333,165
167,0.466667,0.933333,166
168,0.525,0.933333,167
169,0.583333,0.933333,168
170,0.641667,0.933333,169
171,0.851847,0.523465,170
172,0.857342,0.546353,171
173,0.866349,0.568099,172
174,0.878647,0.588168,173
175,0.893934,0.606066,174
176,0.911832,0.621353,175
177,0.931901,0.633651,176
178,0.953647,0.642658,177
179,0.976535,0.648153,178
180,0.801231,0.535643,179
181,0.804894,0.570902,180
182,0.810899,0.605399,181
183,0.819098,0.638779,182
184,0.829289,0.670711,183
185,0.861221,0.680902,184
186,0.894601,0.689101,185
187,0.929098,0.695106,186
188,0.964357,0.698769,187
189,0.750616,0.547822,188
190,0.752447,0.595451,189
191,0.75545,0.6427,190
192,0.759549,0.689389,191
193,0.764645,0.735355,192
194,0.810611,0.740451,193
195,0.8573,0.74455,194
196,0.904549,0.747553,195
197,0.952178,0.749384,196
198,1.3,0.866667,197
199,1.3,0.933333,198
200,1.3,1.,199
201,1.3,0.56,200
202,1.3,0.62,201
203,1.3,0.68,202
204,1.3,0.74,203
205,0.94,1.,204
206,0.88,1.,205
207,0.82,1.,206
208,0.76,1.,207
209,0.76,0.866667,208
210,0.82,0.866667,209
211,0.88,0.866667,210
212,0.94,0.866667,211
213,0.76,0.933333,212
214,0.82,0.933333,213
215,0.88,0.933333,214
216,0.94,0.933333,215
217,1.358333,0.8,216
218,1.416667,0.8,217
219,1.475,0.8,218
220,1.533333,0.8,219
221,1.591667,0.8,220
222,1.65,0.8,221
223,1.708333,0.8,222
224,1.766667,0.8,223
225,1.825,0.8,224
226,1.883333,0.8,225
227,1.941667,0.8,226
228,2.,0.8,227
229,1.24,1.,228
230,1.18,1.,229
231,1.12,1.,230
232,1.06,1.,231
233,1.06,0.866667,232
234,1.12,0.866667,233
235,1.18,0.866667,234
236,1.24,0.866667,235
237,1.06,0.933333,236
238,1.12,0.933333,237
239,1.18,0.933333,238
240,1.24,0.933333,239
241,1.358333,0.5,240
242,1.416667,0.5,241
243,1.475,0.5,242
244,1.533333,0.5,243
245,1.591667,0.5,244
246,1.65,0.5,245
247,1.708333,0.5,246
248,1.766667,0.5,247
249,1.825,0.5,248
250,1.883333,0.5,249
251,1.941667,0.5,250
252,2.,0.5,251
253,1.023465,0.648153,252
254,1.046353,0.642658,253
255,1.068099,0.633651,254
256,1.088168,0.621353,255
257,1.106066,0.606066,256
258,1.121353,0.588168,257
259,1.133651,0.568099,258
260,1.142658,0.546353,259
261,1.148153,0.523465,260
262,1.047822,0.749384,261
263,1.035643,0.698769,262
264,1.095451,0.747553,263
265,1.070902,0.695106,264
266,1.1427,0.74455,265
267,1.105399,0.689101,266
268,1.189389,0.740451,267
269,1.138779,0.680902,268
270,1.235355,0.735355,269
271,1.170711,0.670711,270
272,1.240451,0.689389,271
273,1.180902,0.638779,272
274,1.24455,0.6427,273
275,1.189101,0.605399,274
276,1.247553,0.595451,275
277,1.195106,0.570902,276
278,1.249384,0.547822,277
279,1.198769,0.535643,278
280,2.,0.866667,279
281,2.,0.933333,280
282,2.,1.,281
283,1.941667,1.,282
284,1.883333,1.,283
285,1.825,1.,284
286,1.766667,1.,285
287,1.708333,1.,286
288,1.65,1.,287
289,1.591667,1.,288
290,1.533333,1.,289
291,1.475,1.,290
292,1.416667,1.,291
